varied_param,throttle_scans,map_update_interval,resolution,minimum_time_interval,minimum_travel_distance,minimum_travel_heading,metric_type,sub_metric,stat,value
throttle_scans,1,0.02,0.05,0.5,0.5,0.5,traj,APE,mean,0.07432538183258774
throttle_scans,1,0.02,0.05,0.5,0.5,0.5,traj,APE,std_dev,0.05832062580842595
throttle_scans,1,0.02,0.05,0.5,0.5,0.5,traj,APE,median,0.05242613227649385
throttle_scans,1,0.02,0.05,0.5,0.5,0.5,traj,APE,min,5.421010862427522e-20
throttle_scans,1,0.02,0.05,0.5,0.5,0.5,traj,APE,max,0.26363544357035806
throttle_scans,1,0.02,0.05,0.5,0.5,0.5,traj,APE,rmse,0.09447517017315399
throttle_scans,1,0.02,0.05,0.5,0.5,0.5,traj,RPE,mean,0.049840717893565825
throttle_scans,1,0.02,0.05,0.5,0.5,0.5,traj,RPE,std_dev,0.026832796193721316
throttle_scans,1,0.02,0.05,0.5,0.5,0.5,traj,RPE,median,0.04250474401115826
throttle_scans,1,0.02,0.05,0.5,0.5,0.5,traj,RPE,min,0.014693349395502623
throttle_scans,1,0.02,0.05,0.5,0.5,0.5,traj,RPE,max,0.15973987280963114
throttle_scans,1,0.02,0.05,0.5,0.5,0.5,traj,RPE,rmse,0.05660473577113312
throttle_scans,1,0.02,0.05,0.5,0.5,0.5,traj,num associated poses,mean,27.8
throttle_scans,1,0.02,0.05,0.5,0.5,0.5,traj,num associated poses,std_dev,0.39999999999999997
throttle_scans,1,0.02,0.05,0.5,0.5,0.5,traj,num associated poses,median,28.0
throttle_scans,1,0.02,0.05,0.5,0.5,0.5,traj,num associated poses,min,27.0
throttle_scans,1,0.02,0.05,0.5,0.5,0.5,traj,num associated poses,max,28.0
throttle_scans,1,0.02,0.05,0.5,0.5,0.5,traj,num gt poses,mean,175.2
throttle_scans,1,0.02,0.05,0.5,0.5,0.5,traj,num gt poses,std_dev,7.277362159464101
throttle_scans,1,0.02,0.05,0.5,0.5,0.5,traj,num gt poses,median,171.0
throttle_scans,1,0.02,0.05,0.5,0.5,0.5,traj,num gt poses,min,169.0
throttle_scans,1,0.02,0.05,0.5,0.5,0.5,traj,num gt poses,max,189.0
throttle_scans,1,0.02,0.05,0.5,0.5,0.5,traj,odom accum path length (m),mean,11.598265000000001
throttle_scans,1,0.02,0.05,0.5,0.5,0.5,traj,odom accum path length (m),std_dev,0.09008728331124195
throttle_scans,1,0.02,0.05,0.5,0.5,0.5,traj,odom accum path length (m),median,11.580764
throttle_scans,1,0.02,0.05,0.5,0.5,0.5,traj,odom accum path length (m),min,11.499164
throttle_scans,1,0.02,0.05,0.5,0.5,0.5,traj,odom accum path length (m),max,11.755718
throttle_scans,1,0.02,0.05,0.5,0.5,0.5,traj,total rotation (rad),mean,9.904058800000001
throttle_scans,1,0.02,0.05,0.5,0.5,0.5,traj,total rotation (rad),std_dev,0.6945462434367925
throttle_scans,1,0.02,0.05,0.5,0.5,0.5,traj,total rotation (rad),median,9.536981
throttle_scans,1,0.02,0.05,0.5,0.5,0.5,traj,total rotation (rad),min,9.064655
throttle_scans,1,0.02,0.05,0.5,0.5,0.5,traj,total rotation (rad),max,10.802915
throttle_scans,1,0.02,0.05,0.5,0.5,0.5,traj,duration (s),mean,24.2956
throttle_scans,1,0.02,0.05,0.5,0.5,0.5,traj,duration (s),std_dev,0.8396076702841647
